"modalite","effectif"
"Gagner du temps",160
"Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.",129
"Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..",84
"Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins",76
"Vous entraîner, vous tester : générer des questions, des tests, des quiz",71
"Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.",65
"Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail",53
"Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps",34
"Vous maintenir à niveau car tout le monde l’utilise",21
"Autre",6
"Non-reponse",12
